날짜,지역,차수,연령대,지표,값
2021-02-27,경기,1차,5-11세,건수,0.0
2021-02-27,경기,1차,5-11세,접종률,0.0003524220794782274
2021-02-27,경기,1차,65세이상,건수,23.0
2021-02-27,경기,1차,65세이상,접종률,0.05146999139977263
2021-02-27,경기,1차,6개월-4세,건수,0.0
2021-02-27,경기,1차,6개월-4세,접종률,0.0
2021-02-27,경기,2차,12-64세,건수,12.0
2021-02-27,경기,2차,12-64세,접종률,0.014930858409197648
2021-02-27,경기,2차,5-11세,건수,0.0
2021-02-27,경기,2차,5-11세,접종률,0.00011747402649274246
2021-02-27,경기,2차,65세이상,건수,26.0
2021-02-27,경기,2차,65세이상,접종률,0.018814463583690818
2021-02-27,경기,2차,6개월-4세,건수,0.0
2021-02-27,경기,2차,6개월-4세,접종률,0.0
2021-02-27,경기,3차,12-64세,건수,0.0
2021-02-27,경기,3차,12-64세,접종률,0.0
2021-02-27,경기,3차,5-11세,건수,0.0
2021-02-27,경기,3차,5-11세,접종률,0.0
2021-02-27,경기,3차,65세이상,건수,0.0
2021-02-27,경기,3차,65세이상,접종률,0.0
2021-02-27,경기,3차,6개월-4세,건수,0.0
2021-02-27,경기,3차,6개월-4세,접종률,0.0
2021-02-27,경남,1차,12-64세,건수,55.0
2021-02-27,경남,1차,12-64세,접종률,0.05261690319094108
2021-02-27,경남,1차,5-11세,건수,0.0
2021-02-27,경남,1차,5-11세,접종률,0.0
2021-02-27,경남,1차,65세이상,건수,2.0
2021-02-27,경남,1차,65세이상,접종률,0.015722127708173578
2021-02-27,경남,1차,6개월-4세,건수,0.0
2021-02-27,경남,1차,6개월-4세,접종률,0.0
2021-02-27,경남,2차,12-64세,건수,1.0
2021-02-27,경남,2차,12-64세,접종률,0.005524990654996275
2021-02-27,경남,2차,5-11세,건수,0.0
2021-02-27,경남,2차,5-11세,접종률,0.0
2021-02-27,경남,2차,65세이상,건수,1.0
2021-02-27,경남,2차,65세이상,접종률,0.004153014866310001
2021-02-27,경남,2차,6개월-4세,건수,0.0
2021-02-27,경남,2차,6개월-4세,접종률,0.0
2021-02-27,경남,3차,12-64세,건수,0.0
2021-02-27,경남,3차,12-64세,접종률,0.0
2021-02-27,경남,3차,5-11세,건수,0.0
